"CID","LAC","MCC","MNC","Operator","CGI","Technology","Lon","Lat","SessionId","TestId","NetworkId","SystemName","ADevice","Time","PosId","FileId","BTSLon","BTSLat","BTSLonDiff","BTSLatDiff","BTSDist","BTS2LonDiff","BTS2LatDiff","BTS2Dist","BTS3LonDiff","BTS3LatDiff","BTS3Dist","BTSTech","FloorPlanName","FloorPlanLevel","SessionIdLP","TestIdLP","PosIdLP","NetworkIdLP","RSRP","NumMeasuredCells","ChnPCI"
"15590403","21107","510","1","Indosat Ooredoo","15590403-1-510","LTE E-UTRA 1","105.197474","-4.983255","682899800065","0","682899800065","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:59:49.017","682899800065","159",,,"105.197474","-4.983255",,"105.197474","-4.983255",,"105.197474","-4.983255",,,,,,,,,"    -102.0","0","525 33"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.197478","-4.983266","687194767361","0","687194767361","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:59:49.201","687194767361","160",,,"105.197478","-4.983266",,"105.197478","-4.983266",,"105.197478","-4.983266",,,,,,,,,"     -89.3","0","39050 29"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.197356","-4.983409","695784701953","0","695784701953","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:47:48.753","695784701953","162",,,"105.197356","-4.983409",,"105.197356","-4.983409",,"105.197356","-4.983409",,,,,,,,,"    -105.0","0","39050 29"
"15385603","21107","510","1","Indosat Ooredoo","15385603-1-510","LTE E-UTRA 3","105.197356","-4.983409","708669603841","0","708669603841","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:47:50.924","708669603841","165",,,"105.197356","-4.983409",,"105.197356","-4.983409",,"105.197356","-4.983409",,,,,,,,,"    -102.0","0","1625 33"
"29959711","4100","510","10","Telkomsel","29959711-10-510","LTE E-UTRA 3","105.197356","-4.983409","717259538433","0","717259538433","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:47:48.693","717259538433","167",,,"105.197356","-4.983409",,"105.197356","-4.983409",,"105.197356","-4.983409",,,,,,,,,"     -91.0","3","3500 287"
"15385601","21107","510","1","Indosat Ooredoo","15385601-1-510","LTE E-UTRA 3","105.232329","-4.974806","725849473025","0","725849473025","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:21:11.526","725849473025","169",,,"105.232329","-4.974806",,"105.232329","-4.974806",,"105.232329","-4.974806",,,,,,,,,"    -109.0","2","1625 34"
"42326559","1603","510","9","Smartfren","42326559-9-510","LTE E-UTRA 5","105.232329","-4.974806","734439407617","0","734439407617","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:21:08.919","734439407617","171",,,"105.232329","-4.974806",,"105.232329","-4.974806",,"105.232329","-4.974806",,,,,,,,,"    -108.0","6","2450 363"
"29968140","4100","510","10","Telkomsel","29968140-10-510","LTE E-UTRA 8","105.232329","-4.974806","743029342209","0","743029342209","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:21:09.929","743029342209","173",,,"105.232329","-4.974806",,"105.232329","-4.974806",,"105.232329","-4.974806",,,,,,,,,"    -102.0","3","3500 39"
"74582278","29005","510","11","XL","74582278-11-510","LTE E-UTRA 3","105.232322","-4.974804","755914244097","0","755914244097","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:21:14.068","755914244097","176",,,"105.232322","-4.974804",,"105.232322","-4.974804",,"105.232322","-4.974804",,,,,,,,,"     -92.0","1","1325 158"
"42395424","1608","510","9","Smartfren","42395424-9-510","LTE E-UTRA 5","105.233551","-4.974657","760209211393","0","760209211393","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:19:52.858","760209211393","177",,,"105.233551","-4.974657",,"105.233551","-4.974657",,"105.233551","-4.974657",,,,,,,,,"    -101.0","4","2450 136"
"29968139","4100","510","10","Telkomsel","29968139-10-510","LTE E-UTRA 3","105.233553","-4.97466","777389080577","0","777389080577","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:19:52.776","777389080577","181",,,"105.233553","-4.97466",,"105.233553","-4.97466",,"105.233553","-4.97466",,,,,,,,,"    -109.0","3","1850 78"
"74582277","29005","510","11","XL","74582277-11-510","LTE E-UTRA 3","105.233551","-4.974657","785979015169","0","785979015169","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:19:55.379","785979015169","183",,,"105.233551","-4.974657",,"105.233551","-4.974657",,"105.233551","-4.974657",,,,,,,,,"     -91.0","0","1325 157"
"15385601","21107","510","1","Indosat Ooredoo","15385601-1-510","LTE E-UTRA 3","105.233551","-4.974657","790273982465","0","790273982465","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:19:53.553","790273982465","184",,,"105.233551","-4.974657",,"105.233551","-4.974657",,"105.233551","-4.974657",,,,,,,,,"    -107.6","0","1625 34"
"74582278","29005","510","11","XL","74582278-11-510","LTE E-UTRA 3","105.227716","-4.974062","794568949761","0","794568949761","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:17:39.041","794568949761","185",,,"105.227716","-4.974062",,"105.227716","-4.974062",,"105.227716","-4.974062",,,,,,,,,"    -102.0","0","1325 158"
"29968140","4100","510","10","Telkomsel","29968140-10-510","LTE E-UTRA 8","105.227716","-4.974062","798863917057","0","798863917057","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:17:37.089","798863917057","186",,,"105.227716","-4.974062",,"105.227716","-4.974062",,"105.227716","-4.974062",,,,,,,,,"     -95.0","1","3500 39"
"15590401","21107","510","1","Indosat Ooredoo","15590401-1-510","LTE E-UTRA 1","105.227716","-4.974062","803158884353","0","803158884353","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:17:38.712","803158884353","187",,,"105.227716","-4.974062",,"105.227716","-4.974062",,"105.227716","-4.974062",,,,,,,,,"    -112.0","5","525 34"
